Company Name,Verticals,Keywords,Company Financing Status,Total Raised,Business Status,Ownership Status,Universe,Employees,Exchange,Ticker,Year Founded,HQ Location,HQ City,HQ State/Province,HQ Country,HQ Global Region,HQ Global Sub Region,# Active Investors,Acquirers,First Financing Date,First Financing Size,First Financing Valuation,First Financing Deal Type,First Financing Deal Type 2,First Financing Deal Class,First Financing Status,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Deal Class,Last Updated Date,Last Known Valuation (M),Last Known Valuation Date,Count,First Financing Deal Year,Current Year
Masten Space Systems,"Industrials, Space Technology, TMT","descent and landing testing, flight services, liquid rocket propulsion, lunar delivery, lunar lander, lunar transportation, reusable rockets, rocket power drones, space innovation, spacecraft",Angel-Backed,3.27,Profitable,Privately Held (backing),Pre-venture,15,,,2004,"Mojave, CA",Mojave,California,United States,Americas,North America,1,,19-Jun-2006,0.15,5.80,Angel (individual),Series A,Individual,Completed,21-Apr-2014,,,Angel (individual),Angel (individual),Individual,23-Mar-2020,7.7,11-Jan-2012,1,2006,2020
TellusLabs,"AgTech, Artificial Intelligence & Machine Learning, Big Data, Space Technology, TMT","aerospace, agritech, planetary scale measurement, planetary-scale forecast, satellite imagery data, satellite imagery platform, signal transformation",Formerly VC-backed,3.2,Generating Revenue,Acquired/Merged,Venture Capital,,,,2016,"Allston, MA",Allston,Massachusetts,United States,Americas,North America,1,Indigo Agriculture,19-May-2016,0.10,,Accelerator/Incubator,,Other,Completed,17-Dec-2018,,,Accelerator/Incubator,,Other,23-Jan-2020,12.1,11-Jan-2017,1,2016,2020
Overwatch Geospatial Operations,"Space Technology, TMT","electronic systems, radio frequency",Formerly PE-Backed,3,Profitable,Acquired/Merged,"Private Equity, Venture Capital",60,,,1985,"Dulles, VA",Dulles,Virginia,United States,Americas,North America,,Overwatch Textron Systems,01-Jan-1997,3.00,,Early Stage VC,,Venture Capital,Completed,01-Apr-2005,117.20,117.20,Buyout/LBO,Add-on,Private Equity,19-Apr-2020,117.2,01-Apr-2005,1,1997,2020
Psionic,"Autonomous cars, Mobility Tech, Space Technology","defense operations, lidar technology, mobility tech, navigation model, space defense",Angel-Backed,2.93,Generating Revenue,Privately Held (backing),"Debt Financed, Pre-venture",17,,,2016,"Hampton, VA",Hampton,Virginia,United States,Americas,North America,1,,07-Sep-2018,1.65,,Angel (individual),Angel (individual),Individual,Completed,08-Sep-2020,2.28,,Seed Round,Seed Round,Individual,10-Sep-2020,,,1,2018,2020
Satlantis,"Industrials, Space Technology, TMT","earthing observation, microsatellite, small satellite, space technologies, space technology",Venture Capital-Backed,2.59,Generating Revenue,Privately Held (backing),Venture Capital,11,,,2013,"Bilbao, Spain",Bilbao,Leioa,Spain,Europe,Southern Europe,12,,28-Oct-2015,0.06,,Grant,,Other,Completed,,,,Accelerator/Incubator,,Other,23-Jun-2020,,,1,2015,2020
Zenith Aerospace,Space Technology,"computer vision, earthing imaging, earthing imaging system, earthing monitoring system, earthing observation service, earthing observation system, imaging technology, satellite imagery systems, satellite imaging, satellite monitoring",Venture Capital-Backed,2.57,Startup,Privately Held (backing),"M&A, Venture Capital",,,,2016,"Palo Alto, CA",Palo Alto,California,United States,Americas,North America,4,,19-Jan-2018,,,Accelerator/Incubator,,Other,Completed,21-May-2020,0.65,,Early Stage VC,,Venture Capital,06-Oct-2020,,,1,2018,2020
Astrobotic,"Industrials, Robotics and Drones, Space Technology, TMT","aerospace research, lunar logistics, lunar surfacing, prototype rovers, scientific payloads, space mission",Accelerator/Incubator Backed,2.5,Generating Revenue,Privately Held (backing),Pre-venture,100,,,2007,"Pittsburgh, PA",Pittsburgh,Pennsylvania,United States,Americas,North America,4,,,,,Accelerator/Incubator,,Other,Completed,08-Aug-2018,10.00,,Grant,,Other,20-Oct-2020,,,1,,2020
Skyloom,"Space Technology, TMT","fiberless optical communication, high capacity communication, laser communication technology, laser communications, optical communication, space infrastructure",Venture Capital-Backed,2.37,Generating Revenue,Privately Held (backing),Venture Capital,31,,,2017,"Oakland, CA",Oakland,California,United States,Americas,North America,6,,26-Jun-2018,0.10,,Accelerator/Incubator,,Other,Completed,,0.60,15.60,Accelerator/Incubator,,Other,05-Oct-2020,5.55,15-Nov-2018,1,2018,2020
Adranos,"Space Technology, TMT","private spaces exploration, rocket fuel, rocket propellants, solid rocket propellants, space exploration",Venture Capital-Backed,2.34,Generating Revenue,Privately Held (backing),Venture Capital,9,,,2015,"Lafayette, IN",Lafayette,Indiana,United States,Americas,North America,8,,01-Jan-2016,,,Accelerator/Incubator,,Other,Completed,07-Oct-2020,1.66,,Early Stage VC,,Venture Capital,27-Oct-2020,,,1,2016,2020
Bluefield Technologies,"Artificial Intelligence & Machine Learning, Big Data, Industrials, Oil & Gas, Space Technology, TMT","coal mining, hedge-fund analytics solution, landfill gas monitoring, livestock monitoring system, methane detection, methane monitoring satellite, methane tracking microsatellite, methane tracking satellite, regulation advisory, waste carbon dioxide, water treatment monitoring",Venture Capital-Backed,2.25,Generating Revenue,Privately Held (backing),Venture Capital,4,,,2017,"San Francisco, CA",San Francisco,California,United States,Americas,North America,13,,,,,Accelerator/Incubator,,Other,Completed,20-Aug-2019,10.00,,Early Stage VC,Series A,Venture Capital,08-Oct-2020,,,1,,2020
PowerLight Technologies,"CleanTech, Space Technology, TMT","fiber optic cable, laser technology, power supply system, power transmission technology, wireless power, wireless power supply",Venture Capital-Backed,2.07,Generating Revenue,Privately Held (backing),Venture Capital,14,,,2007,"Kent, WA",Kent,Washington,United States,Americas,North America,11,,30-Oct-2010,0.90,,Grant,,Other,Completed,04-Feb-2019,2.07,4.42,Seed Round,Seed Round,Venture Capital,16-Sep-2020,4.42,04-Feb-2019,1,2010,2020
Positron Dynamics,"Industrials, Space Technology, TMT","aeronautical engineering services, propulsion systems, propulsion systems manufacturer, propulsion technology, spacecraft sytems",Venture Capital-Backed,2.04,Generating Revenue,Privately Held (backing),Venture Capital,,,,2012,"San Francisco, CA",San Francisco,California,United States,Americas,North America,10,,29-Apr-2012,0.35,,Grant,,Other,Completed,09-Jan-2017,1.50,,Early Stage VC,,Venture Capital,18-Jun-2020,6,24-Jun-2015,1,2012,2020
FreeFall Aerospace,"Big Data, Space Technology, TMT","ground antenna system, intelligent antenna system, remote sensing, satellite communication device, satellite communication product",Venture Capital-Backed,2,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",10,,,2016,"Tucson, AZ",Tucson,Arizona,United States,Americas,North America,2,,01-Jan-2017,,,Accelerator/Incubator,,Other,Completed,14-Apr-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2017,2020
Solaren,"CleanTech, LOHAS & Wellness, Space Technology","alternative energy firm, renewable energy power, solar energy generation, solar power satellite, space electricity, space solar power",Venture Capital-Backed,1.98,Generating Revenue,Privately Held (backing),Venture Capital,,,,2001,"Manhattan Beach, CA",Manhattan Beach,California,United States,Americas,North America,1,,09-Jan-2002,0.04,,Angel (individual),Series A,Individual,Completed,10-Jul-2009,0.61,,Angel (individual),Angel (individual),Individual,09-Sep-2020,,,1,2002,2020
RBC Signals,"Space Technology, TMT","ground station infrastructure, satellite communication, space communication, space communication service, spacecraft communication",Venture Capital-Backed,1.95,Generating Revenue,Privately Held (backing),Venture Capital,10,,,2015,"Redmond, WA",Redmond,Washington,United States,Americas,North America,13,,09-Mar-2017,1.95,,Seed Round,Seed Round,Venture Capital,Completed,,,,Early Stage VC,,Venture Capital,16-Sep-2020,,,1,2017,2020
LunaSonde,"Artificial Intelligence & Machine Learning, Big Data, SaaS, Space Technology","eothermal energy planning, geological resources platform, geothermal resource data, mineral concentrations, nonferrous mineral, petroleum exploration platform",Venture Capital-Backed,1.8,Generating Revenue,Privately Held (backing),Venture Capital,,,,2016,"Cortaro, AZ",Cortaro,Arizona,United States,Americas,North America,3,,16-Oct-2018,,,Accelerator/Incubator,,Other,Completed,12-Jul-2019,0.60,,Early Stage VC,,Venture Capital,12-Aug-2020,7.2,18-Feb-2019,1,2018,2020
Intermap Technologies,"CleanTech, Mobile, Oil & Gas, Space Technology, TMT","business intelligence, data collection, data management, data platform",Corporation,1.74,Generating Revenue/Not Profitable,Publicly Held,Publicly Listed,69,TSE,IMP,1997,"Englewood, CO",Englewood,Colorado,United States,Americas,North America,,,01-Jan-1997,,,IPO,,Public Investment,Completed,17-Aug-2020,1.74,,PIPE,,Corporate,10-Oct-2020,,,1,1997,2020
LiveEO,Space Technology,"eo software, infrastructure analysis, satellite image analytics, satellite image processing, satellite imagery data, satellite imagery platform, satellite imagery processing",Venture Capital-Backed,1.74,Generating Revenue,Privately Held (backing),Venture Capital,22,,,2017,"Berlin, Germany",Berlin,,Germany,Europe,Western Europe,8,,16-Nov-2017,,,Accelerator/Incubator,,Other,Completed,04-Jun-2020,,,Accelerator/Incubator,,Other,06-Oct-2020,11.77,13-Jun-2019,1,2017,2020
Tesseract Space,"Industrials, Space Technology, TMT","propellants tankage, propulsion systems, satellite propulsion product, spacecraft propulsion, spacecraft propulsion systems",Venture Capital-Backed,1.62,Generating Revenue,Privately Held (backing),Venture Capital,7,,,2017,"Los Angeles, CA",Los Angeles,California,United States,Americas,North America,10,,01-Jan-2017,0.12,,Accelerator/Incubator,,Other,Completed,01-Oct-2019,0.24,,Seed Round,Seed Round,Venture Capital,30-Oct-2020,,,1,2017,2020
Team Indus Moonshot,"Industrials, Infrastructure, Space Technology, TMT","aerospace grading technologies, aerospace technology, lunar transportation, military service",Angel-Backed,1.51,Generating Revenue,Privately Held (backing),Pre-venture,100,,,2010,,,,,,,17,,11-Dec-2014,0.01,,Seed Round,Seed Round,Individual,Completed,10-Oct-2017,,,Angel (individual),Angel (individual),Individual,09-Oct-2020,,,1,2014,2020
Airstar,"Manufacturing, Space Technology, TMT","electric airships, film industry, inflatables technology, lighting balloon, lighting services",Venture Capital-Backed,1.37,Generating Revenue,Privately Held (backing),Venture Capital,75,,,1994,"Le Champ-près-Froges, France",Le Champ-près-Froges,,France,Europe,Western Europe,2,,27-Dec-2013,1.37,15.39,Later Stage VC,,Venture Capital,Completed,27-Dec-2013,1.37,15.39,Later Stage VC,,Venture Capital,13-Oct-2020,15.39,27-Dec-2013,1,2013,2020
EchoStar,"Industrials, Space Technology, TMT","broadband service, internet service, satellite broadband, satellite communication, satellite data",Corporation,1.31,Generating Revenue/Not Profitable,Publicly Held,"Debt Financed, Private Equity, Publicly Listed","2,300",NAS,SATS,1980,"Englewood, CO",Englewood,Colorado,United States,Americas,North America,,,31-Dec-2007,,,IPO,Spin-Off,Public Investment,Completed,,,,Secondary Transaction - Open Market,,Private Equity,10-Oct-2020,,,1,2007,2020
SpaceVR,"Mobile, Space Technology, TMT, Virtual Reality","explore space, explore universe, space, virtual application, virtual reality, virtual reality camera, virtual world",Venture Capital-Backed,1.25,Generating Revenue,Privately Held (backing),Venture Capital,8,,,2015,"San Francisco, CA",San Francisco,California,United States,Americas,North America,2,,28-Aug-2015,,,Product Crowdfunding,,Individual,Failed/Cancelled,28-Apr-2016,1.25,,Seed Round,Seed Round,Venture Capital,04-May-2020,,,1,2015,2020
TerraServer,"Industrials, Space Technology, TMT","aerial photography, aerial photography services, satellite imagery, satellite imagery provider, satellite imagery services",Formerly VC-backed,1.25,Generating Revenue,Acquired/Merged,Venture Capital,,,,,"Raleigh, NC",Raleigh,North Carolina,United States,Americas,North America,,PrecisionHawk,22-Dec-1997,1.25,,Early Stage VC,,Venture Capital,Completed,01-Jan-2015,,,Merger/Acquisition,,Corporate,06-Apr-2020,,,1,1997,2020
Atomos Space,Space Technology,"electric propulsion, nuclear spacecraft, orbital travel, space logistics, space technology",Private Equity-Backed,1.04,Generating Revenue,Privately Held (backing),"Private Equity, Venture Capital",10,,,2018,"Denver, CO",Denver,Colorado,United States,Americas,North America,9,,,,,Seed Round,Seed Round,Venture Capital,Completed,,,,PE Growth/Expansion,,Private Equity,06-Oct-2020,0.33,18-Jan-2019,1,,2020
Urban Sky,"Internet of Things, Space Technology","earthing images, earthing mapping, earthing photography, remote imagery, satellite image capture, satellite photography",Venture Capital-Backed,1.04,Generating Revenue,Privately Held (backing),Venture Capital,3,,,2019,"Denver, CO",Denver,Colorado,United States,Americas,North America,5,,07-Jun-2020,0.02,0.33,Accelerator/Incubator,,Other,Completed,14-Sep-2020,1.02,4.02,Seed Round,Seed Round,Venture Capital,23-Oct-2020,4.02,14-Sep-2020,1,2020,2020
Tri-D Dynamics,"3D Printing, Advanced Manufacturing, Industrials, Oil & Gas, Space Technology, TMT","3-d metalworking, 3d printer, 3-d printing, 3d printing service, 3d printing technology, additives manufacturing, augmented materials, cold metal fusion, cold spray, defense, embedded electronics, intelligent metal, manufacturing, metal printing, mettalize composites, mining, oil & gas company, oil and gas fracking, pipes maker, smart metal, smart pipes, solid-state manufacturing, steel pipe manufacturing",Venture Capital-Backed,1.02,Product In Beta Test,Privately Held (backing),Venture Capital,3,,,2015,"San Francisco, CA",San Francisco,California,United States,Americas,North America,5,,,0.03,,Capitalization,,Individual,Completed,28-Jun-2018,1.00,,Early Stage VC,,Venture Capital,28-Sep-2020,,,1,,2020
Openwhere,"Industrials, Mobile, Space Technology, TMT","satellite, satellite imagery technology",Formerly Angel backed,1,Startup,Acquired/Merged,Pre-venture,29,,,2013,"Herndon, VA",Herndon,Virginia,United States,Americas,North America,,Spaceflight Industries,24-Feb-2014,1.00,,Angel (individual),Angel (individual),Individual,Completed,21-Jun-2016,,,Merger/Acquisition,,Corporate,17-Oct-2019,,,1,2014,2020
Xona Space Systems,Space Technology,"global positioning system, intelligent systems, location services, navigation services, navigation solutions, navigation technology, position location technology, precision timing",Venture Capital-Backed,1,Startup,Privately Held (backing),Venture Capital,11,,,2019,"San Mateo, CA",San Mateo,California,United States,Americas,North America,6,,16-May-2019,,,Accelerator/Incubator,,Other,Completed,01-Jun-2020,0.23,,Accelerator/Incubator,,Other,11-Sep-2020,6,14-May-2020,1,2019,2020
ARC,"Industrials, Manufacturing, Space Technology, TMT","additives manufacturing, aviation & aerospace, aviation and aerospace, rocket engine combustion, rocket propulsion",Venture Capital-Backed,0.97,Generating Revenue,Privately Held (backing),Venture Capital,7,,,2015,"San Diego, CA",San Diego,California,United States,Americas,North America,4,,03-Jun-2015,0.10,3.33,Accelerator/Incubator,,Other,Completed,31-Jul-2018,0.75,,Seed Round,Seed Round,Venture Capital,11-Sep-2020,2,17-Jul-2017,1,2015,2020
Bagaveev,"3D Printing, Industrials, Space Technology, TMT","3d print aerospike, aerospike rocket engine, business product, launching platform, rocket engine, sun-synchronous orbit",Venture Capital-Backed,0.96,Generating Revenue,Privately Held (backing),Venture Capital,3,,,2013,"Half Moon Bay, CA",Half Moon Bay,California,United States,Americas,North America,10,,01-Nov-2013,,,Accelerator/Incubator,,Venture Capital,Completed,01-Jun-2015,0.30,,Seed Round,Seed Round,Venture Capital,15-Apr-2020,1.71,23-Mar-2015,1,2013,2020
Prime Lightworks,"Industrials, Manufacturing, Space Technology","aerospace emission reduction, aerospace propulsion systems, electric propulsion systems, electric propulsion systems study, satellite propulsion, solar power propulsion, spacecraft propulsion",Venture Capital-Backed,0.82,Generating Revenue,Privately Held (backing),Venture Capital,6,,,2015,"Torrance, CA",Torrance,California,United States,Americas,North America,4,,01-Jan-2016,0.12,1.71,Accelerator/Incubator,,Other,Completed,20-Dec-2019,0.41,10.53,Equity Crowdfunding,,Individual,26-Oct-2020,10.53,20-Dec-2019,1,2016,2020
Waypoint 2 Space,"Space Technology, TMT","astronaut, commercial flight, entertainment activities, flight, spaceflight, spaceflight training",Accelerator/Incubator Backed,0.8,Generating Revenue,Privately Held (backing),"Pre-venture, Venture Capital",7,,,2008,"Houston, TX",Houston,Texas,United States,Americas,North America,1,,,,,Accelerator/Incubator,,Other,Completed,02-Sep-2019,26.00,31.00,Later Stage VC,,Venture Capital,03-Sep-2020,31,02-Sep-2019,1,,2020
Space Tango,"Industrials, Manufacturing, Space Technology, TMT","aerospace manufacturing, aerospace products, aerospace testing, commercial aerospace, gravity products",Venture Capital-Backed,0.77,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",3,,,2014,"Lexington, KY",Lexington,Kentucky,United States,Americas,North America,4,,01-Jan-2015,0.50,,Angel (individual),Angel (individual),Individual,Completed,08-Apr-2020,5.00,,Grant,,Other,09-Sep-2020,,,1,2015,2020
Kayhan Space,"Artificial Intelligence & Machine Learning, SaaS, Space Technology","aerospace technology, astrodynamics platform, defense and security, orbit determination, satellite operation, spaceflight analysis, spaceflight operations",Venture Capital-Backed,0.72,Generating Revenue,Privately Held (backing),Venture Capital,10,,,2019,"Boulder, CO",Boulder,Colorado,United States,Americas,North America,4,,08-Jun-2020,0.12,,Accelerator/Incubator,,Other,Completed,06-Oct-2020,0.60,,Seed Round,Seed Round,Venture Capital,08-Oct-2020,,,1,2020,2020
UP Aerospace,Space Technology,"hypersonic missions, micro-gravity time, orbital launch vehicle, payload separation, reusable launch vehicle, rlv system, sub-orbital launch site",Angel-Backed,0.72,Generating Revenue,Privately Held (backing),Pre-venture,12,,,1998,"Highlands Ranch, CO",Highlands Ranch,Colorado,United States,Americas,North America,,,03-Oct-2006,0.72,,Angel (individual),Angel (individual),Individual,Completed,03-Oct-2006,0.72,,Angel (individual),Angel (individual),Individual,14-May-2020,,,1,2006,2020
LGN Innovations,"Artificial Intelligence & Machine Learning, Big Data, Space Technology","ai technology developer, artificial perception systems, automated shopping, autonomous systems simulation, embedded hardware company tools, facial and credentialing recognition, high resolution sensor data, low cost sensors, satellite imaging",Venture Capital-Backed,0.66,Generating Revenue,Privately Held (backing),Venture Capital,6,,,2018,"Shrewsbury, United Kingdom",Shrewsbury,England,United Kingdom,Europe,Western Europe,5,,01-Jan-2019,,,Accelerator/Incubator,,Other,Completed,01-Jan-2020,,,Accelerator/Incubator,,Other,14-Oct-2020,3.08,24-Oct-2019,1,2019,2020
Skycom Corporation,"Industrials, Mobile, Space Technology, TMT","aerospace, cell tower, cellular backhaul, clean energy vehicles, data acquisition platform, emergency management platform, emission measurement, geostationary, geostationary airships, infrastructure, internet access solutions, iot, military, mobile tower, platform, survey and mapping, voice and data services",Venture Capital-Backed,0.65,Product Development,Privately Held (backing),Venture Capital,3,,,2015,"Austin, TX",Austin,Texas,United States,Americas,North America,4,,01-Apr-2017,0.45,3.45,Seed Round,Seed Round,Venture Capital,Completed,28-Apr-2018,0.20,,Seed Round,Seed Round,Venture Capital,25-Sep-2020,3.45,01-Apr-2017,1,2017,2020
Information Systems Labs,"Cybersecurity, Space Technology, TMT","advances signal processing, business consulting, complex analysis, experts research, space exploration, technology development, undersea technologies",Angel-Backed,0.63,Generating Revenue,Privately Held (backing),Pre-venture,5,,,1982,"San Diego, CA",San Diego,California,United States,Americas,North America,5,,10-Jun-2002,0.63,,Angel (individual),Angel (individual),Individual,Completed,01-Jan-2016,40.28,,Grant,,Other,06-Jul-2020,,,1,2002,2020
AllSource Analysis,"Robotics and Drones, Space Technology, TMT","business analytics, geospatial, intelligence analytics product, visual intelligence",Accelerator/Incubator Backed,0.59,Generating Revenue,Privately Held (backing),Pre-venture,,,,2013,"Longmont, CO",Longmont,Colorado,United States,Americas,North America,2,,06-Nov-2014,0.50,,Seed Round,Seed Round,Individual,Completed,07-Nov-2018,0.07,,Angel (individual),Angel (individual),Individual,16-Oct-2019,,,1,2014,2020
Aphelion Orbitals,"Industrials, Space Technology, TMT","aerospace launch vehicle, aerospace vehicles, space launch, space vehicles, spacecraft system",Angel-Backed,0.5,Startup,Privately Held (backing),Pre-venture,5,,,2015,"Titusville, FL",Titusville,Florida,United States,Americas,North America,,,31-Jul-2017,0.50,2.00,Seed Round,Seed Round,Individual,Completed,31-Jul-2017,0.50,2.00,Seed Round,Seed Round,Individual,22-Jan-2020,2,31-Jul-2017,1,2017,2020
NOVI,"Artificial Intelligence & Machine Learning, Internet of Things, Space Technology","geospatial imagery, spacecraft design, spacecraft hardware, spacecraft operations, spacecraft sytems, spacecraft technologies",Venture Capital-Backed,0.5,Startup,Privately Held (backing),Venture Capital,,,,2017,"Arlington, VA",Arlington,Virginia,United States,Americas,North America,3,,14-Feb-2019,0.50,,Early Stage VC,,Venture Capital,Completed,15-Jan-2020,0.52,,Grant,,Other,23-Jul-2020,,,1,2019,2020
LeoSat Enterprises,"Cybersecurity, Space Technology, TMT","broadband, broadband network, cybersecurity, global data network, most secure data network, network delivery system, satellite networking",Formerly Angel backed,0.41,Out of Business,Out of Business,"M&A, Pre-venture",5,,,2013,"Tysons, VA",Tysons,Virginia,United States,Americas,North America,,,22-Jan-2016,0.41,,Angel (individual),Angel (individual),Individual,Completed,13-Nov-2019,,,Out of Business,,Out of Business,21-Aug-2020,,,1,2016,2020
York Space Systems,"Industrials, Manufacturing, Space Technology, TMT","spacecraft builder, spacecraft designer, spacecraft platform maker, spacecraft system supplier, spacecraft systems engineering",Venture Capital-Backed,0.25,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",29,,,2012,"Denver, CO",Denver,Colorado,United States,Americas,North America,5,,01-Jan-2015,,,Angel (individual),Angel (individual),Individual,Completed,01-May-2020,,,Debt - PPP,,Debt,16-Sep-2020,,,1,2015,2020
OnOffBlock.com,"Industrials, Space Technology, TMT","air traffic control, flight tracking, flight tracking service",Formerly Angel backed,0.22,Out of Business,Out of Business,Pre-venture,,,,2014,"Naperville, IL",Naperville,Illinois,United States,Americas,North America,,,02-Nov-2014,0.05,,Capitalization,,Individual,Completed,01-Oct-2017,,,Out of Business,,Out of Business,27-Jul-2019,,,1,2014,2020
Coherent Navigation,"Mobile, Robotics and Drones, SaaS, Space Technology, TMT","precision navigation, radio navigation, robotics, satellite navigation",Formerly VC-backed,0.2,Generating Revenue,Acquired/Merged,Venture Capital,6,,,2008,"Foster City, CA",Foster City,California,United States,Americas,North America,,Apple,14-Mar-2014,0.20,,Angel (individual),Angel (individual),Individual,Completed,17-May-2015,,,Merger/Acquisition,,Corporate,26-Aug-2020,,,1,2014,2020
Epic Aerospace,"Manufacturing, Space Technology","inexpensive space tugs, inexpensive tugs, space instruments, space product, space tugs",Venture Capital-Backed,0.2,Generating Revenue,Privately Held (backing),Venture Capital,12,,,2019,"Los Altos, CA",Los Altos,California,United States,Americas,North America,3,,17-Jul-2019,0.05,,Seed Round,Seed Round,Venture Capital,Completed,,0.15,1.00,Accelerator/Incubator,,Other,19-Oct-2020,1,,1,2019,2020
Microlaunchers,"Industrials, Space Technology, TMT","aerospace, space launch, space launch service, space launch vehicle, space launching platform",Formerly Accelerator/Incubator backed,0.15,Out of Business,Out of Business,Pre-venture,3,,,2012,"Las Vegas, NV",Las Vegas,Nevada,United States,Americas,North America,,,01-Oct-2013,0.15,,Capitalization,,Individual,Completed,31-May-2015,,,Out of Business,,Out of Business,28-Jul-2020,,,1,2013,2020
RocketStar,Space Technology,"aerospike engine, propulsion systems, propulsion systems manufacturer, rocket engine manufacturer, rocket propulsion systems",Venture Capital-Backed,0.14,Generating Revenue,Privately Held (backing),Venture Capital,15,,,2014,"New York, NY",New York,New York,United States,Americas,North America,,,24-Jul-2014,0.01,,Product Crowdfunding,,Individual,Completed,01-Sep-2018,0.14,,Seed Round,Seed Round,Venture Capital,28-Jul-2020,,,1,2014,2020
Novo Space,Space Technology,"electronics and software development, electronics development, satellite hardware, space computer, space ecosystem, space electronics, space industry, space mission, space revolution, space ventures",Accelerator/Incubator Backed,0.13,Startup,Privately Held (backing),Pre-venture,,,,,"El Segundo, CA",El Segundo,California,United States,Americas,North America,4,,06-Nov-2018,0.01,,Accelerator/Incubator,,Other,Completed,15-Jul-2019,0.12,,Accelerator/Incubator,,Other,20-Mar-2020,,,1,2018,2020
Launcher,"Industrials, Space Technology, TMT","3d-printed rocket, liquid-propellant rocket, rocket engine, satellite, satellite launcher, space launch",Accelerator/Incubator Backed,0.12,Startup,Privately Held (backing),Venture Capital,,,,2017,"Brooklyn, NY",Brooklyn,New York,United States,Americas,North America,4,,,,,Accelerator/Incubator,,Other,Completed,11-Jun-2020,0.12,,Accelerator/Incubator,,Other,05-Oct-2020,,,1,,2020
New Ascent,"Industrials, Space Technology, TMT","affordable transportation, cubesat development, reusable infrastructure, satellite launch, satellite launch preparation, satellite launch vehicle, satellite launcher vehicle, satellite launching, space accessibility, space launch, space launch vehicle, space launcher, spcae transportation",Angel-Backed,0.11,Stealth,Privately Held (backing),"Pre-venture, Venture Capital",3,,,2016,"Annapolis, MD",Annapolis,Maryland,United States,Americas,North America,,,06-Mar-2017,0.11,,Angel (individual),Angel (individual),Individual,Completed,31-Dec-2017,,,Early Stage VC,,Venture Capital,27-Jul-2019,,,1,2017,2020
Redwire,"Industrials, Space Technology, TMT","aerospace market, satellite, space operations, space technology, spacecraft engineering",Private Equity-Backed,0.08,Generating Revenue,Privately Held (backing),"Private Equity, Venture Capital",,,,2002,"Marlborough, MA",Marlborough,Massachusetts,United States,Americas,North America,2,,,0.08,,Early Stage VC,,Venture Capital,Completed,02-Mar-2020,,,Buyout/LBO,Corporate Divestiture,Private Equity,07-Oct-2020,,,1,,2020
APR Technologies,"CleanTech, Space Technology","aerospace thermal coolent, automotive application, automotive parts supplier, defense and space, thermal control solution, thermal management equipment, thermal management technology, thermal regulation systems",Accelerator/Incubator Backed,0.06,Generating Revenue,Privately Held (backing),Pre-venture,,,,2011,"Enköping, Sweden",Enköping,,Sweden,Europe,Northern Europe,2,,01-Jan-2012,,,Accelerator/Incubator,,Other,Completed,15-Dec-2018,0.06,,Accelerator/Incubator,,Other,14-May-2020,,,1,2012,2020
Aquarian Devices,Space Technology,"aerospace and defence, aerospace industry, aviation & aerospace, blue ocean strategy, spacecraft telecommunication",Angel-Backed,0.05,Startup,Privately Held (backing),Pre-venture,,,,2016,"Boulder, CO",Boulder,Colorado,United States,Americas,North America,,,11-Jul-2019,0.05,,Angel (individual),Angel (individual),Individual,Completed,11-Jul-2019,0.05,,Angel (individual),Angel (individual),Individual,23-Jul-2020,,,1,2019,2020
Xenesis,"Industrials, Space Technology","communications architecture, communications sector, data transport, data transport service, data transportation system, infrared system, infrastructure communication platform, infrastructure-as-a-service, mesh network, mesh networking equipment, mesh networking platform, optical communication network, optical communication service, service architecture, space company, space firm, space product, space tech, space technology",Accelerator/Incubator Backed,0.05,Product In Beta Test,Privately Held (backing),Pre-venture,10,,,2014,"Lisle, IL",Lisle,Illinois,United States,Americas,North America,1,,21-Jun-2019,0.05,,Accelerator/Incubator,,Other,Completed,21-Jun-2019,0.05,,Accelerator/Incubator,,Other,18-Mar-2020,,,1,2019,2020
Modularity Space,Space Technology,"reusable satellite, satellite launching service, satellite service, serviceable satellite, upgradeable payloads",Accelerator/Incubator Backed,0.03,Generating Revenue,Privately Held (backing),Pre-venture,,,,2016,"Daytona Beach, FL",Daytona Beach,Florida,United States,Americas,North America,3,,12-May-2017,0.03,,Accelerator/Incubator,,Other,Completed,,0.03,0.42,Accelerator/Incubator,,Other,21-Aug-2020,0.42,,1,2017,2020
Voyager Space Technologies,Space Technology,"satellite builder, satellite design, satellite software, space engineering, space technology services",Accelerator/Incubator Backed,0.03,Generating Revenue,Privately Held (backing),Pre-venture,8,,,2017,"San Diego, CA",San Diego,California,United States,Americas,North America,2,,,0.03,0.42,Accelerator/Incubator,,Other,Completed,31-Jan-2018,,,Accelerator/Incubator,,Other,21-Aug-2020,0.42,,1,,2020
